month,orders,late_rate,late_rate_pct
2016-09,1,1.0,100.0
2016-10,270,0.011111111111111112,1.1111111111111112
2016-12,1,0.0,0.0
2017-01,750,0.030666666666666665,3.0666666666666664
2017-02,1653,0.03206291591046582,3.2062915910465817
2017-03,2546,0.05577376276512176,5.577376276512176
2017-04,2303,0.07859313938341293,7.859313938341293
2017-05,3545,0.03610719322990127,3.6107193229901267
2017-06,3135,0.03859649122807018,3.8596491228070176
2017-07,3872,0.034349173553719005,3.4349173553719003
2017-08,4193,0.03315048891008824,3.315048891008824
2017-09,4150,0.052048192771084335,5.204819277108434
2017-10,4478,0.05292541313086199,5.2925413130862
2017-11,7288,0.14283754116355654,14.283754116355654
2017-12,5513,0.08380192272809722,8.380192272809722
2018-01,7069,0.06563870420144292,6.563870420144292
2018-02,6556,0.15985356924954242,15.985356924954242
2018-03,7003,0.21362273311437954,21.362273311437953
2018-04,3207,0.06423448705955721,6.423448705955721
