column,dtype,role,rows,non_null,missing_count,missing_pct,unique_values,unique_pct,memory_mb
customer_city,object,Categorical,67533,67533,0,0.0,3747,5.548398560703656,4.338888168334961
customer_state,object,Categorical,67533,67533,0,0.0,27,0.039980454000266535,3.7999868392944336
order_status,object,Categorical,67533,67533,0,0.0,2,0.0029615151111308546,4.250812530517578
seller_city,object,Categorical,67533,67533,0,0.0,490,0.7255712022270594,4.334332466125488
seller_state,object,Categorical,67533,67533,0,0.0,22,0.0325766662224394,3.7999868392944336
order_approved_at,datetime64[ns],Date/time,67533,67519,14,0.020730605777915984,63153,93.51428190662344,0.5153579711914062
order_delivered_carrier_date,datetime64[ns],Date/time,67533,67532,1,0.0014807575555654273,63242,93.64606932906875,0.5153579711914062
order_delivered_customer_date,datetime64[ns],Date/time,67533,67533,0,0.0,66958,99.14856440554988,0.5153579711914062
order_estimated_delivery_date,datetime64[ns],Date/time,67533,67533,0,0.0,356,0.5271496897812921,0.5153579711914062
order_purchase_timestamp,datetime64[ns],Date/time,67533,67533,0,0.0,67155,99.44027364399626,0.5153579711914062
customer_zip_code_prefix,int64,Geographic,67533,67533,0,0.0,13748,20.357454873913493,0.5153579711914062
seller_zip_code_prefix,float64,Geographic,67533,67533,0,0.0,1681,2.489153450905483,0.5153579711914062
customer_id,object,ID,67533,67533,0,0.0,67533,100.0,5.732121467590332
customer_unique_id,object,ID,67533,67533,0,0.0,65401,96.84302489153451,5.732121467590332
order_id,object,ID,67533,67533,0,0.0,67533,100.0,5.732121467590332
average_review_score,float64,Numerical,67533,67018,515,0.762590141116195,11,0.0162883331112197,0.5153579711914062
delivery_delay_days,float64,Numerical,67533,67533,0,0.0,5426,8.034590496498009,0.5153579711914062
distance_km,float64,Numerical,67533,67189,344,0.509380599114507,48598,71.96185568536863,0.5153579711914062
item_count,float64,Numerical,67533,67533,0,0.0,17,0.025172878444612263,0.5153579711914062
max_payment_installments,float64,Numerical,67533,67532,1,0.0014807575555654273,22,0.0325766662224394,0.5153579711914062
payment_count,float64,Numerical,67533,67532,1,0.0014807575555654273,19,0.02813439355574312,0.5153579711914062
review_count,float64,Numerical,67533,67018,515,0.762590141116195,3,0.004442272666696282,0.5153579711914062
total_freight_value,float64,Numerical,67533,67533,0,0.0,6388,9.45907926495195,0.5153579711914062
total_item_value,float64,Numerical,67533,67533,0,0.0,5942,8.798661395169768,0.5153579711914062
total_payment_value,float64,Numerical,67533,67532,1,0.0014807575555654273,21192,31.380214117542536,0.5153579711914062
unique_products,float64,Numerical,67533,67533,0,0.0,7,0.010365302888957992,0.5153579711914062
unique_sellers,float64,Numerical,67533,67533,0,0.0,5,0.007403787777827137,0.5153579711914062
is_late,int8,Target,67533,67533,0,0.0,2,0.0029615151111308546,0.06452655792236328
