weekday,weekday_name,orders,late_rate_pct
0,Monday,10736,10.022354694485843
1,Tuesday,10729,9.255289402553826
2,Wednesday,10339,8.598510494245092
3,Thursday,10005,8.275862068965518
4,Friday,9885,9.468892261001518
5,Saturday,7594,8.967606004740585
6,Sunday,8245,8.380836870830805
